date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:53:49	171/171	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2003%20Nov%202022%2015:53:50%20GMT	http://s7.addthis.com/js/300/addthis_widget.js	C:/My%20Web%20Sites/proyecIns/s7.addthis.com/js/300/addthis_widget.c7.delayed	(from http://institutomisionerosmonfortianos.drelm.edu.pe/content/iestp-misioneros-monfortianos-local-1-nuevo-0)
10:54:07	1140275/1140275	---M--	200	added ('OK')	application/pdf	etag:%22116633-5dc78464cdd73%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/2022%2C%20PROTOCOLO%20PARA%20INGRESO%20AL%20INST.pdf	C:/My%20Web%20Sites/proyecIns/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/2022,%20PROTOCOLO%20PARA%20INGRESO%20AL%20INST.pdf	(from http://institutomisionerosmonfortianos.drelm.edu.pe/content/protocolo-de-ingreso-al-instituto-2022)
10:54:08	361292/361292	---M-Z	200	added ('OK')	application/javascript	etag:W/%225f971164-5834c%22	https://s7.addthis.com/js/300/addthis_widget.js	C:/My%20Web%20Sites/proyecIns/s7.addthis.com/js/300/addthis_widget.js	(from http://institutomisionerosmonfortianos.drelm.edu.pe/content/iestp-misioneros-monfortianos-local-1-nuevo-0)
10:54:10	33589/33589	---MC-	200	added ('OK')	text/html	date:Thu,%2003%20Nov%202022%2015:54:08%20GMT	http://institutomisionerosmonfortianos.drelm.edu.pe/node/137	C:/My%20Web%20Sites/proyecIns/institutomisionerosmonfortianos.drelm.edu.pe/node/137.html	(from http://institutomisionerosmonfortianos.drelm.edu.pe/content/iestp-misioneros-monfortianos-local-1)
10:54:11	33593/33593	---MC-	200	added ('OK')	text/html	date:Thu,%2003%20Nov%202022%2015:54:09%20GMT	http://institutomisionerosmonfortianos.drelm.edu.pe/node/136	C:/My%20Web%20Sites/proyecIns/institutomisionerosmonfortianos.drelm.edu.pe/node/136.html	(from http://institutomisionerosmonfortianos.drelm.edu.pe/content/iestp-misioneros-monfortianos-local-1-0)
10:54:13	33595/33595	---MC-	200	added ('OK')	text/html	date:Thu,%2003%20Nov%202022%2015:54:10%20GMT	http://institutomisionerosmonfortianos.drelm.edu.pe/node/133	C:/My%20Web%20Sites/proyecIns/institutomisionerosmonfortianos.drelm.edu.pe/node/133.html	(from http://institutomisionerosmonfortianos.drelm.edu.pe/content/iestp-misioneros-monfortianos-local-1-1)
10:54:41	445887/445887	---M--	200	added ('OK')	image/png	etag:%226cdbf-5dc78a4392494%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/foto_noticia/PORTADA%20PROTOCOLO.png	C:/My%20Web%20Sites/proyecIns/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/foto_noticia/PORTADA%20PROTOCOLO.png	(from http://institutomisionerosmonfortianos.drelm.edu.pe/content/protocolo-de-ingreso-al-instituto-2022)
10:56:59	2598354/2598354	UR-M--	200	added ('Partial%20Content')	application/pdf	etag:%2227a5d2-5d88e07a0dcdd%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/Reglamento%20Admisi%c3%b3n%202022.pdf	C:/My%20Web%20Sites/proyecIns/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/Reglamento%20Admisi%c3%b3n%202022.pdf	(from http://institutomisionerosmonfortianos.drelm.edu.pe/pagina/reglamento-de-admisi%c3%b3n-2021)
10:57:05	2598354/2598354	UR-M--	200	added ('Partial%20Content')	application/pdf	etag:%2227a5d2-5d88e087d5a21%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/archivos_pagina/Reglamento%20Admisi%c3%b3n%202022.pdf	C:/My%20Web%20Sites/proyecIns/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/archivos_pagina/Reglamento%20Admisi%c3%b3n%202022.pdf	(from http://institutomisionerosmonfortianos.drelm.edu.pe/pagina/reglamento-de-admisi%c3%b3n-2021)
10:57:40	4672512/4672512	---M--	200	added ('OK')	image/png	etag:%22474c00-5ea4e00a22e93%22	http://institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/foto_noticia/RENOVACION%20DE%20CONTRATO%202023.png	C:/My%20Web%20Sites/proyecIns/institutomisionerosmonfortianos.drelm.edu.pe/sites/institutomisionerosmonfortianos.drelm.edu.pe/files/foto_noticia/RENOVACION%20DE%20CONTRATO%202023.png	(from http://institutomisionerosmonfortianos.drelm.edu.pe/content/renovaci%c3%b3n-de-contrato-2023)
